gov1,gov2,boundary,profits,strat1,strat2,govexp1,govexp2,govpop1,govpop2,govinfluence1,govinfluence2
0.0,11710.343454907294,0.45,0.0,"172.1567434,3.256149152,366.12148,0.324316548","292.3063477,3.551292258,494.2652862,0.578694524",undefined,1581.8000059866338,0,1,0.33115427715290885,1.0
4617.806907360097,6670.93146788741,0.45,5.714523747137342e-12,"172.1567434,3.256149152,366.12148,0.578694524","292.3063477,3.551292258,494.2652862,0.324316548",623.1590559632,1388.994265947245,1,2,1.0,1.0
1129.0620151302094,19160.120368221225,0.45,0.0,"172.1567434,3.256149152,366.12148,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524",215.14413313347907,3254.370325551547,1,2,1.0,1.0
4617.806907360097,6764.379372640533,0.45,0.0,"172.1567434,3.256149152,366.12148,0.578694524","292.3063477,3.551292258,583.2918017,0.324316548",623.1590559632,1408.4887466477899,1,2,1.0,1.0
2235.488623038935,5896.982522440605,0.45,0.0,"172.1567434,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,366.12148,0.578694524",301.1603115041902,1128.6864742513374,1,1,1.0,1.0
0.0,11415.970461172366,0.45,0.0,"172.1567434,3.256149152,494.2652862,0.578694524","292.3063477,3.551292258,366.12148,0.324316548",undefined,1807.3459954408295,0,2,0.33115427715290885,1.0
2235.488623038935,6792.558034805747,0.45,0.0,"172.1567434,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524",301.1603115041902,1300.2803900809863,1,1,1.0,1.0
0.0,5470.015853003127,0.45,0.0,"172.1567434,3.256149152,494.2652862,0.578694524","292.3063477,3.551292258,583.2918017,0.324316548",undefined,738.3452644223205,0,1,0.33115427715290885,1.0
2357.1515559311065,5896.982522440605,0.45,0.0,"172.1567434,3.256149152,583.2918017,0.324316548","292.3063477,3.551292258,366.12148,0.578694524",317.6045086949291,1128.6864742513374,1,1,1.0,1.0
0.0,11415.970461172366,0.45,0.0,"172.1567434,3.256149152,583.2918017,0.578694524","292.3063477,3.551292258,366.12148,0.324316548",undefined,1807.3459954408295,0,2,0.33115427715290885,1.0
2357.1515559311065,6439.449306732634,0.45,0.0,"172.1567434,3.256149152,583.2918017,0.324316548","292.3063477,3.551292258,494.2652862,0.578694524",317.6045086949291,1232.6241081403653,1,1,1.0,1.0
0.0,12158.558093007625,0.45,1.1429047494274685e-11,"172.1567434,3.256149152,583.2918017,0.578694524","292.3063477,3.551292258,494.2652862,0.324316548",undefined,1925.0517365766636,0,2,0.33115427715290885,1.0
0.0,11710.343454907294,0.45,0.0,"172.1567434,3.256149152,366.12148,0.324316548","292.3063477,4.21479788,494.2652862,0.578694524",undefined,1581.8000059866338,0,1,0.33115427715290885,1.0
0.0,5186.405848998336,0.45,0.0,"172.1567434,3.256149152,366.12148,0.578694524","292.3063477,4.21479788,494.2652862,0.324316548",undefined,700.0119880475478,0,1,0.33115427715290885,1.0
0.0,12349.517264805536,0.45,0.0,"172.1567434,3.256149152,366.12148,0.324316548","292.3063477,4.21479788,583.2918017,0.578694524",undefined,1668.1919736900434,0,1,0.33115427715290885,1.0
4617.806907360097,3006.4612411733583,0.45,0.0,"172.1567434,3.256149152,366.12148,0.578694524","292.3063477,4.21479788,583.2918017,0.324316548",623.1590559632,574.8572788419001,1,1,1.0,1.0
