boundary,player1,player2
0.45,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,4.21479788,583.2918017,0.578694524"
0.45,"292.3063477,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.45,"172.1567434,3.551292258,366.12148,0.324316548","353.197233,4.21479788,583.2918017,0.578694524"
0.45,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,494.2652862,0.324316548"
0.45,"292.3063477,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.45,"353.197233,3.256149152,583.2918017,0.324316548","172.1567434,4.21479788,494.2652862,0.578694524"
0.45,"172.1567434,3.551292258,494.2652862,0.578694524","292.3063477,3.256149152,366.12148,0.324316548"
0.45,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,366.12148,0.324316548"
0.45,"353.197233,3.256149152,583.2918017,0.324316548","172.1567434,4.21479788,494.2652862,0.578694524"
0.45,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,494.2652862,0.324316548"
0.45,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,494.2652862,0.324316548"
0.45,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,494.2652862,0.324316548"
0.45,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,366.12148,0.324316548"
0.45,"172.1567434,3.551292258,366.12148,0.324316548","353.197233,4.21479788,583.2918017,0.578694524"
0.45,"172.1567434,3.551292258,366.12148,0.324316548","353.197233,4.21479788,583.2918017,0.578694524"
0.45,"292.3063477,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.45,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,366.12148,0.324316548"
0.45,"172.1567434,3.551292258,366.12148,0.324316548","353.197233,4.21479788,583.2918017,0.578694524"
0.45,"353.197233,3.256149152,583.2918017,0.324316548","172.1567434,4.21479788,494.2652862,0.578694524"
0.45,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,366.12148,0.324316548"
0.45,"292.3063477,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.45,"353.197233,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.45,"172.1567434,3.551292258,366.12148,0.324316548","353.197233,4.21479788,583.2918017,0.578694524"
0.45,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,494.2652862,0.324316548"
0.45,"353.197233,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.45,"353.197233,3.256149152,583.2918017,0.324316548","172.1567434,4.21479788,494.2652862,0.578694524"
0.45,"292.3063477,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.45,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,494.2652862,0.324316548"
0.45,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,4.21479788,583.2918017,0.578694524"
0.45,"353.197233,3.256149152,583.2918017,0.324316548","172.1567434,4.21479788,494.2652862,0.578694524"
0.45,"353.197233,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.45,"353.197233,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.45,"292.3063477,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.45,"172.1567434,3.551292258,494.2652862,0.578694524","292.3063477,3.256149152,366.12148,0.324316548"
0.45,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,4.21479788,583.2918017,0.578694524"
0.45,"292.3063477,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.45,"292.3063477,3.256149152,366.12148,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.5,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.5,"172.1567434,3.551292258,494.2652862,0.578694524","292.3063477,3.256149152,366.12148,0.324316548"
0.5,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.5,"172.1567434,3.256149152,494.2652862,0.578694524","353.197233,3.551292258,583.2918017,0.324316548"
0.5,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.5,"353.197233,4.21479788,583.2918017,0.324316548","172.1567434,3.551292258,494.2652862,0.578694524"
0.5,"292.3063477,3.256149152,583.2918017,0.578694524","353.197233,4.21479788,366.12148,0.324316548"
0.5,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.5,"292.3063477,3.256149152,583.2918017,0.578694524","353.197233,4.21479788,366.12148,0.324316548"
0.5,"292.3063477,3.256149152,583.2918017,0.578694524","353.197233,4.21479788,366.12148,0.324316548"
0.5,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.5,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.5,"353.197233,4.21479788,583.2918017,0.324316548","172.1567434,3.551292258,494.2652862,0.578694524"
0.5,"172.1567434,3.551292258,494.2652862,0.578694524","292.3063477,3.256149152,366.12148,0.324316548"
0.5,"292.3063477,3.256149152,583.2918017,0.578694524","353.197233,4.21479788,366.12148,0.324316548"
0.5,"292.3063477,3.256149152,583.2918017,0.578694524","353.197233,4.21479788,366.12148,0.324316548"
0.5,"353.197233,3.256149152,583.2918017,0.578694524","172.1567434,4.21479788,366.12148,0.324316548"
0.5,"353.197233,4.21479788,583.2918017,0.324316548","172.1567434,3.551292258,494.2652862,0.578694524"
0.5,"172.1567434,3.256149152,494.2652862,0.578694524","353.197233,3.551292258,583.2918017,0.324316548"
0.5,"353.197233,3.256149152,583.2918017,0.578694524","172.1567434,4.21479788,366.12148,0.324316548"
0.5,"353.197233,4.21479788,583.2918017,0.324316548","172.1567434,3.551292258,494.2652862,0.578694524"
0.5,"172.1567434,3.551292258,494.2652862,0.578694524","292.3063477,3.256149152,366.12148,0.324316548"
0.5,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.5,"292.3063477,3.256149152,583.2918017,0.578694524","353.197233,4.21479788,366.12148,0.324316548"
0.5,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.55,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.55,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.55,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.55,"172.1567434,3.256149152,494.2652862,0.578694524","353.197233,3.551292258,583.2918017,0.324316548"
0.55,"172.1567434,3.551292258,494.2652862,0.324316548","353.197233,4.21479788,583.2918017,0.578694524"
0.55,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,494.2652862,0.324316548"
0.55,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,494.2652862,0.324316548"
0.55,"292.3063477,3.551292258,583.2918017,0.578694524","353.197233,3.256149152,366.12148,0.324316548"
0.55,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.55,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,494.2652862,0.324316548"
0.55,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,494.2652862,0.324316548"
0.55,"172.1567434,3.551292258,494.2652862,0.324316548","353.197233,4.21479788,583.2918017,0.578694524"
0.55,"172.1567434,3.551292258,494.2652862,0.324316548","353.197233,4.21479788,583.2918017,0.578694524"
0.55,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,494.2652862,0.324316548"
0.55,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,494.2652862,0.324316548"
0.55,"292.3063477,3.551292258,583.2918017,0.578694524","353.197233,3.256149152,366.12148,0.324316548"
0.55,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.55,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.55,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.55,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.55,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,494.2652862,0.324316548"
0.55,"172.1567434,3.551292258,494.2652862,0.324316548","353.197233,4.21479788,583.2918017,0.578694524"
0.55,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.55,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.55,"172.1567434,3.256149152,494.2652862,0.578694524","353.197233,3.551292258,583.2918017,0.324316548"
0.55,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,494.2652862,0.324316548"
0.55,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,494.2652862,0.324316548"
0.55,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.55,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,494.2652862,0.324316548"
0.55,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,494.2652862,0.324316548"
0.55,"353.197233,3.256149152,494.2652862,0.578694524","172.1567434,3.551292258,583.2918017,0.324316548"
0.6,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524"
0.6,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.6,"353.197233,4.21479788,583.2918017,0.324316548","292.3063477,3.256149152,366.12148,0.578694524"
0.6,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,366.12148,0.324316548"
0.6,"353.197233,3.256149152,583.2918017,0.578694524","292.3063477,3.551292258,366.12148,0.324316548"
0.6,"353.197233,4.21479788,583.2918017,0.324316548","292.3063477,3.256149152,366.12148,0.578694524"
0.6,"353.197233,4.21479788,583.2918017,0.324316548","292.3063477,3.256149152,366.12148,0.578694524"
0.6,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,366.12148,0.324316548"
0.6,"292.3063477,4.21479788,583.2918017,0.324316548","353.197233,3.256149152,366.12148,0.578694524"
0.6,"292.3063477,3.551292258,583.2918017,0.578694524","353.197233,3.256149152,366.12148,0.324316548"
0.6,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.6,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,366.12148,0.324316548"
0.6,"353.197233,3.256149152,583.2918017,0.578694524","292.3063477,3.551292258,366.12148,0.324316548"
0.6,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.6,"353.197233,4.21479788,583.2918017,0.324316548","292.3063477,3.256149152,366.12148,0.578694524"
0.6,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.6,"353.197233,4.21479788,583.2918017,0.324316548","292.3063477,3.256149152,366.12148,0.578694524"
0.6,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,366.12148,0.324316548"
0.6,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524"
0.6,"292.3063477,4.21479788,583.2918017,0.324316548","353.197233,3.256149152,366.12148,0.578694524"
0.6,"353.197233,4.21479788,583.2918017,0.324316548","292.3063477,3.256149152,366.12148,0.578694524"
0.6,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.6,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.6,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.6,"353.197233,4.21479788,583.2918017,0.324316548","292.3063477,3.256149152,366.12148,0.578694524"
0.6,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524"
0.6,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,366.12148,0.324316548"
0.6,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.6,"292.3063477,3.256149152,583.2918017,0.578694524","172.1567434,3.551292258,366.12148,0.324316548"
0.65,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524"
0.65,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.65,"172.1567434,3.551292258,583.2918017,0.324316548","353.197233,4.21479788,494.2652862,0.578694524"
0.65,"353.197233,3.256149152,583.2918017,0.324316548","172.1567434,3.551292258,494.2652862,0.578694524"
0.65,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524"
0.65,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.65,"353.197233,3.256149152,583.2918017,0.324316548","172.1567434,3.551292258,494.2652862,0.578694524"
0.65,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.65,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524"
0.65,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524"
0.65,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.65,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524"
0.65,"172.1567434,3.551292258,583.2918017,0.324316548","353.197233,4.21479788,494.2652862,0.578694524"
0.65,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524"
0.65,"353.197233,3.256149152,583.2918017,0.324316548","172.1567434,3.551292258,494.2652862,0.578694524"
0.65,"292.3063477,3.551292258,583.2918017,0.578694524","172.1567434,3.256149152,366.12148,0.324316548"
0.65,"172.1567434,3.551292258,583.2918017,0.324316548","353.197233,4.21479788,494.2652862,0.578694524"
0.65,"353.197233,3.256149152,494.2652862,0.324316548","292.3063477,3.551292258,583.2918017,0.578694524"
